SiteID,Samp_Date,AirTemperature_C
Met_Station01,2015-10-01 00:15:00.000,7.893
Met_Station01,2015-10-01 00:30:00.000,8.13
Met_Station01,2015-10-01 00:45:00.000,8.52
Met_Station01,2015-10-01 01:00:00.000,8.66
Met_Station01,2015-10-01 01:15:00.000,8.51
Met_Station01,2015-10-01 01:30:00.000,8.49
Met_Station01,2015-10-01 01:45:00.000,8.38
Met_Station01,2015-10-01 02:00:00.000,8.53
Met_Station01,2015-10-01 02:15:00.000,8.59
Met_Station01,2015-10-01 02:30:00.000,8.59
Met_Station01,2015-10-01 02:45:00.000,8.59
Met_Station01,2015-10-01 03:00:00.000,8.67
Met_Station01,2015-10-01 03:15:00.000,8.53
Met_Station01,2015-10-01 03:30:00.000,8.46
Met_Station01,2015-10-01 03:45:00.000,8.35
Met_Station01,2015-10-01 04:00:00.000,8.4
Met_Station01,2015-10-01 04:15:00.000,8.63
Met_Station01,2015-10-01 04:30:00.000,8.57
Met_Station01,2015-10-01 04:45:00.000,8.45
Met_Station01,2015-10-01 05:00:00.000,8.18
Met_Station01,2015-10-01 05:15:00.000,7.962
Met_Station01,2015-10-01 05:30:00.000,7.533
Met_Station01,2015-10-01 05:45:00.000,6.886
Met_Station01,2015-10-01 06:00:00.000,6.61
Met_Station01,2015-10-01 06:15:00.000,6.386
Met_Station01,2015-10-01 06:30:00.000,6.241
Met_Station01,2015-10-01 06:45:00.000,6.453
Met_Station01,2015-10-01 07:00:00.000,6.69
Met_Station01,2015-10-01 07:15:00.000,6.914
Met_Station01,2015-10-01 07:30:00.000,7.489
Met_Station01,2015-10-01 07:45:00.000,8.48
Met_Station01,2015-10-01 08:00:00.000,9.15
Met_Station01,2015-10-01 08:15:00.000,9.35
Met_Station01,2015-10-01 08:30:00.000,9.28
Met_Station01,2015-10-01 08:45:00.000,9.42
Met_Station01,2015-10-01 09:00:00.000,9.72
Met_Station01,2015-10-01 09:15:00.000,9.97
Met_Station01,2015-10-01 09:30:00.000,10.17
Met_Station01,2015-10-01 09:45:00.000,10.72
Met_Station01,2015-10-01 10:00:00.000,11.54
Met_Station01,2015-10-01 10:15:00.000,12.24
Met_Station01,2015-10-01 10:30:00.000,12.74
Met_Station01,2015-10-01 10:45:00.000,13.33
Met_Station01,2015-10-01 11:00:00.000,14.1
Met_Station01,2015-10-01 11:15:00.000,15.8
Met_Station01,2015-10-01 11:30:00.000,15.48
Met_Station01,2015-10-01 11:45:00.000,16.07
Met_Station01,2015-10-01 12:00:00.000,16.75
Met_Station01,2015-10-01 12:15:00.000,16.7
Met_Station01,2015-10-01 12:30:00.000,15.58
Met_Station01,2015-10-01 12:45:00.000,16.52
Met_Station01,2015-10-01 13:00:00.000,17.56
Met_Station01,2015-10-01 13:15:00.000,17.4
Met_Station01,2015-10-01 13:30:00.000,17.26
Met_Station01,2015-10-01 13:45:00.000,18.4
Met_Station01,2015-10-01 14:00:00.000,17.2
Met_Station01,2015-10-01 14:15:00.000,16.52
Met_Station01,2015-10-01 14:30:00.000,16.83
Met_Station01,2015-10-01 14:45:00.000,17.33
Met_Station01,2015-10-01 15:00:00.000,16.48
Met_Station01,2015-10-01 15:15:00.000,15.81
Met_Station01,2015-10-01 15:30:00.000,14.1
Met_Station01,2015-10-01 15:45:00.000,12.85
Met_Station01,2015-10-01 16:00:00.000,10.7
Met_Station01,2015-10-01 16:15:00.000,11.55
Met_Station01,2015-10-01 16:30:00.000,12.74
Met_Station01,2015-10-01 16:45:00.000,12.77
